Comment,Designator,Footprint,LCSC
1k,"R6,R8",R_0402_1005Metric,C11702
100nF,"C13,C14,C15,C16,C2,C5,C6,C7",C_0402_1005Metric,C1525
10uF,C3,C_0603_1608Metric,C15525
22pF,"C10,C12",C_0402_1005Metric,C1555
RP2040,U2,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040
500mA,F1,Fuse_1206_3216Metric,C20798
10k,"R11,R12",R_0402_1005Metric,C25744
27,"R1,R2",R_0402_1005Metric,C25771
5.1k,"R3,R4,R5,R7,R9",R_0402_1005Metric,C25905
Crystal_GND24_Small,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C27869
USB_C_Receptacle_USB2.0,J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C2927039
Flash,"SW1,SW2",SW_SPST_TL3342,C318884
RotaryEncoder_Switch,SW3,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,C470710
MX_SW_HS,"MX1,MX10,MX11,MX12,MX13,MX14,MX15,MX16,MX17,MX18,MX19,MX2,MX20,MX21,MX22,MX23,MX24,MX25,MX26,MX27,MX28,MX29,MX3,MX30,MX31,MX32,MX33,MX34,MX35,MX36,MX37,MX38,MX39,MX4,MX40,MX41,MX42,MX43,MX44,MX45,MX46,MX47,MX48,MX49,MX5,MX50,MX51,MX52,MX53,MX54,MX55,MX56,MX57,MX58,MX59,MX6,MX60,MX61,MX62,MX63,MX64,MX65,MX66,MX67,MX68,MX69,MX7,MX70,MX71,MX72,MX73,MX74,MX75,MX76,MX77,MX78,MX79,MX8,MX80,MX81,MX82,MX83,MX84,MX9",SW_MX_HS_1u,C5156480
1uF,"C1,C11,C4,C8,C9",C_0402_1005Metric,C52923
XC6206PxxxMR,U1,SOT-23-3,C5446
ESC,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D56,D57,D58,D59,D6,D60,D61,D62,D63,D64,D65,D66,D67,D68,D69,D7,D70,D71,D72,D73,D74,D75,D76,D77,D78,D79,D8,D80,D81,D82,D83,D84,D85,D9",D_SOD-123,C81598
SRV05-4,U4,SOT-23-6-routable,C85364
W25Q128JVS,U3,SOIC-8_5.23x5.23mm_P1.27mm,C97521
Conn_01x05,J1,PinHeader_1x05_P2.54mm_Vertical,
