Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,172.255,-131.95,90.0,bottom
C2,100nF,C_0402_1005Metric,173.125,-146.1,270.0,bottom
C3,10uF,C_0603_1608Metric,166.79,-132.01,0.0,bottom
C4,1uF,C_0402_1005Metric,168.83,-134.625,0.0,bottom
C5,100nF,C_0402_1005Metric,168.405,-139.325,0.0,bottom
C6,100nF,C_0402_1005Metric,181.07,-139.3,180.0,bottom
C7,100nF,C_0402_1005Metric,179.68,-134.53,180.0,bottom
C8,1uF,C_0402_1005Metric,79.88,-29.7,270.0,bottom
C9,1uF,C_0402_1005Metric,74.23,-29.675,90.0,bottom
C10,22pF,C_0402_1005Metric,176.1,-149.8,45.0,bottom
C11,1uF,C_0402_1005Metric,181.7,-130.16,0.0,bottom
C12,22pF,C_0402_1005Metric,180.135657,-145.904344,225.0,bottom
C13,100nF,C_0402_1005Metric,175.94,-128.69,180.0,bottom
C14,100nF,C_0402_1005Metric,171.08,-131.95,90.0,bottom
C15,100nF,C_0402_1005Metric,174.205,-145.35,270.0,bottom
C16,100nF,C_0402_1005Metric,174.15,-128.1,90.0,bottom
D1,ESC,D_SOD-123,74.05,-47.1,90.0,bottom
D2,F1,D_SOD-123,94.15,-47.05,90.0,bottom
D3,F2,D_SOD-123,108.35,-44.75,90.0,bottom
D4,F3,D_SOD-123,127.6,-44.75,90.0,bottom
D5,F4,D_SOD-123,146.55,-44.75,90.0,bottom
D6,F5,D_SOD-123,165.5,-44.75,90.0,bottom
D7,F6,D_SOD-123,184.7,-44.7,90.0,bottom
D8,F7,D_SOD-123,203.7,-44.65,90.0,bottom
D9,F8,D_SOD-123,222.95,-44.65,90.0,bottom
D10,F9,D_SOD-123,241.85,-44.75,90.0,bottom
D11,F10,D_SOD-123,260.85,-44.6,90.0,bottom
D12,F11,D_SOD-123,279.85,-44.75,90.0,bottom
D13,F12,D_SOD-123,299.0,-44.95,90.0,bottom
D14,Del,D_SOD-123,317.95,-45.25,90.0,bottom
D15,Ins,D_SOD-123,337.1,-45.2,90.0,bottom
D16,???,D_SOD-123,356.1,-36.5,270.0,bottom
D17,`/~,D_SOD-123,75.25,-70.7,90.0,bottom
D18,1,D_SOD-123,89.59,-68.3775,90.0,bottom
D19,2,D_SOD-123,108.87,-68.27,90.0,bottom
D20,3,D_SOD-123,132.46,-70.5,90.0,bottom
D21,4,D_SOD-123,146.69,-68.5875,90.0,bottom
D22,5,D_SOD-123,165.77,-68.4,90.0,bottom
D23,6,D_SOD-123,184.77,-68.27,90.0,bottom
D24,7,D_SOD-123,203.84,-68.35,90.0,bottom
